intersection,sample_id,text,latitude,longitude,unique_sign_count,raw_sign_count
11th-santafe,0,swifts breakfeast | timeos bar | 711 gas is 329 | denver voice | brick building nita | 711 gas is 329 | denver works | quin,39.73366666666665,-104.99869444444445,13,13
11th-santafe,1,timeos bar | armstrong dance center | denver voice | 711 gas is 329 | 711 gas is 329 | 711 gas is 329 | tacos selene | timeos bar,39.73366666666665,-104.99869444444445,13,13
11th-santafe,2,armstrong dance center | sante fe theater | tacos selene | nicks studio | brick building nita | aztlan | swifts breakfeast | hyder construction,39.73366666666665,-104.99869444444445,13,13
11th-santafe,3,711 gas is 329 | sante fe theater | quin | tacos selene | hyder construction | brick building nita | hyder construction | hyder construction,39.73366666666665,-104.99869444444445,13,13
11th-santafe,4,sante fe theater | 711 gas is 329 | aztlan | brick building nita | tacos selene | quin | timeos bar | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,5,sante fe theater | armstrong dance center | timeos bar | brick building nita | denver voice | armstrong dance center | timeos bar | denver voice,39.73366666666665,-104.99869444444445,13,13
11th-santafe,6,sante fe theater | hyder construction | timeos bar | denver works | armstrong dance center | 711 gas is 329 | 711 gas is 329 | armstrong dance center,39.73366666666665,-104.99869444444445,13,13
11th-santafe,7,brick building nita | tacos selene | denver voice | nicks studio | swifts breakfeast | brick building nita | armstrong dance center | armstrong dance center,39.73366666666665,-104.99869444444445,13,13
11th-santafe,8,nicks studio | nicks studio | hyder construction | denver works | sante fe theater | swifts breakfeast | sante fe theater | brick building nita,39.73366666666665,-104.99869444444445,13,13
11th-santafe,9,hyder construction | armstrong dance center | quin | aztlan | sante fe theater | armstrong dance center | sante fe theater | armstrong dance center,39.73366666666665,-104.99869444444445,13,13
11th-santafe,10,timeos bar | denver works | brick building nita | hyder construction | denver voice | denver works | nicks studio | 711 gas is 329,39.73366666666665,-104.99869444444445,13,13
11th-santafe,11,denver works | denver voice | timeos bar | aztlan | hyder construction | armstrong dance center | quin | denver voice,39.73366666666665,-104.99869444444445,13,13
11th-santafe,12,aztlan | brick building nita | hyder construction | swifts breakfeast | 711 gas is 329 | aztlan | aztlan | quin,39.73366666666665,-104.99869444444445,13,13
11th-santafe,13,711 gas is 329 | timeos bar | aztlan | 711 gas is 329 | timeos bar | brick building nita | timeos bar | denver voice,39.73366666666665,-104.99869444444445,13,13
11th-santafe,14,sante fe theater | aztlan | denver works | denver works | 711 gas is 329 | armstrong dance center | hyder construction | quin,39.73366666666665,-104.99869444444445,13,13
11th-santafe,15,711 gas is 329 | timeos bar | armstrong dance center | denver works | swifts breakfeast | armstrong dance center | brick building nita | denver works,39.73366666666665,-104.99869444444445,13,13
11th-santafe,16,sante fe theater | swifts breakfeast | swifts breakfeast | timeos bar | swifts breakfeast | hyder construction | timeos bar | sante fe theater,39.73366666666665,-104.99869444444445,13,13
11th-santafe,17,sante fe theater | aztlan | 711 gas is 329 | aztlan | timeos bar | denver voice | brick building nita | aztlan,39.73366666666665,-104.99869444444445,13,13
11th-santafe,18,armstrong dance center | brick building nita | tacos selene | timeos bar | armstrong dance center | swifts breakfeast | tacos selene | 711 gas is 329,39.73366666666665,-104.99869444444445,13,13
11th-santafe,19,timeos bar | denver voice | swifts breakfeast | tacos selene | denver works | swifts breakfeast | 711 gas is 329 | swifts breakfeast,39.73366666666665,-104.99869444444445,13,13
11th-santafe,20,tacos selene | brick building nita | quin | timeos bar | nicks studio | denver works | nicks studio | denver works,39.73366666666665,-104.99869444444445,13,13
11th-santafe,21,tacos selene | 711 gas is 329 | denver works | tacos selene | tacos selene | aztlan | denver voice | denver works,39.73366666666665,-104.99869444444445,13,13
11th-santafe,22,timeos bar | nicks studio | armstrong dance center | hyder construction | aztlan | sante fe theater | aztlan | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,23,brick building nita | timeos bar | nicks studio | aztlan | brick building nita | denver works | sante fe theater | nicks studio,39.73366666666665,-104.99869444444445,13,13
11th-santafe,24,aztlan | nicks studio | swifts breakfeast | brick building nita | swifts breakfeast | tacos selene | denver voice | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,25,aztlan | swifts breakfeast | denver works | timeos bar | brick building nita | sante fe theater | tacos selene | aztlan,39.73366666666665,-104.99869444444445,13,13
11th-santafe,26,nicks studio | sante fe theater | hyder construction | sante fe theater | quin | timeos bar | aztlan | brick building nita,39.73366666666665,-104.99869444444445,13,13
11th-santafe,27,sante fe theater | aztlan | denver works | denver works | denver works | brick building nita | nicks studio | quin,39.73366666666665,-104.99869444444445,13,13
11th-santafe,28,armstrong dance center | denver voice | denver works | tacos selene | tacos selene | sante fe theater | swifts breakfeast | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,29,quin | armstrong dance center | hyder construction | timeos bar | sante fe theater | nicks studio | quin | swifts breakfeast,39.73366666666665,-104.99869444444445,13,13
11th-santafe,30,denver works | armstrong dance center | denver voice | nicks studio | 711 gas is 329 | brick building nita | 711 gas is 329 | armstrong dance center,39.73366666666665,-104.99869444444445,13,13
11th-santafe,31,denver voice | timeos bar | 711 gas is 329 | sante fe theater | hyder construction | denver voice | nicks studio | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,32,armstrong dance center | denver voice | denver works | armstrong dance center | swifts breakfeast | hyder construction | aztlan | timeos bar,39.73366666666665,-104.99869444444445,13,13
11th-santafe,33,armstrong dance center | denver works | tacos selene | brick building nita | sante fe theater | tacos selene | nicks studio | nicks studio,39.73366666666665,-104.99869444444445,13,13
11th-santafe,34,tacos selene | quin | denver works | 711 gas is 329 | nicks studio | hyder construction | aztlan | sante fe theater,39.73366666666665,-104.99869444444445,13,13
11th-santafe,35,denver works | swifts breakfeast | nicks studio | swifts breakfeast | denver works | timeos bar | denver works | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,36,tacos selene | swifts breakfeast | quin | swifts breakfeast | brick building nita | sante fe theater | armstrong dance center | tacos selene,39.73366666666665,-104.99869444444445,13,13
11th-santafe,37,armstrong dance center | sante fe theater | tacos selene | tacos selene | armstrong dance center | brick building nita | nicks studio | 711 gas is 329,39.73366666666665,-104.99869444444445,13,13
11th-santafe,38,timeos bar | tacos selene | tacos selene | quin | 711 gas is 329 | nicks studio | swifts breakfeast | nicks studio,39.73366666666665,-104.99869444444445,13,13
11th-santafe,39,armstrong dance center | nicks studio | sante fe theater | brick building nita | nicks studio | aztlan | armstrong dance center | swifts breakfeast,39.73366666666665,-104.99869444444445,13,13
11th-santafe,40,sante fe theater | aztlan | swifts breakfeast | tacos selene | brick building nita | denver works | denver works | sante fe theater,39.73366666666665,-104.99869444444445,13,13
11th-santafe,41,711 gas is 329 | hyder construction | tacos selene | timeos bar | brick building nita | tacos selene | 711 gas is 329 | sante fe theater,39.73366666666665,-104.99869444444445,13,13
11th-santafe,42,tacos selene | sante fe theater | swifts breakfeast | quin | swifts breakfeast | quin | quin | denver voice,39.73366666666665,-104.99869444444445,13,13
11th-santafe,43,tacos selene | swifts breakfeast | quin | aztlan | 711 gas is 329 | brick building nita | denver voice | hyder construction,39.73366666666665,-104.99869444444445,13,13
11th-santafe,44,brick building nita | denver works | swifts breakfeast | denver works | tacos selene | brick building nita | swifts breakfeast | denver works,39.73366666666665,-104.99869444444445,13,13
11th-santafe,45,tacos selene | nicks studio | tacos selene | sante fe theater | nicks studio | brick building nita | swifts breakfeast | nicks studio,39.73366666666665,-104.99869444444445,13,13
11th-santafe,46,swifts breakfeast | quin | quin | timeos bar | aztlan | quin | 711 gas is 329 | denver works,39.73366666666665,-104.99869444444445,13,13
11th-santafe,47,swifts breakfeast | 711 gas is 329 | swifts breakfeast | armstrong dance center | aztlan | timeos bar | armstrong dance center | quin,39.73366666666665,-104.99869444444445,13,13
11th-santafe,48,timeos bar | tacos selene | timeos bar | sante fe theater | aztlan | sante fe theater | brick building nita | brick building nita,39.73366666666665,-104.99869444444445,13,13
11th-santafe,49,aztlan | sante fe theater | nicks studio | brick building nita | sante fe theater | denver works | denver works | timeos bar,39.73366666666665,-104.99869444444445,13,13
11th-santafe,50,armstrong dance center | tacos selene | swifts breakfeast | armstrong dance center | timeos bar | hyder construction | quin | armstrong dance center,39.73366666666665,-104.99869444444445,13,13
