,intersection,text_on_sign_exact,code_type,notes,Unnamed: 3,latitude,longitude,zip,city
0,florida-federal,federal,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
1,florida-federal,uper ave,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
2,florida-federal,federal village,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
3,florida-federal,vs liquors,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
4,florida-federal,dollar general,storefront_accessory,,,39.689499999999995,-105.02502777777778,,sheridan
5,florida-federal,florida,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
6,florida-federal,conoco,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
7,florida-federal,7 eleven,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
8,florida-federal,churches chicken,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
9,florida-federal,vpower,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
10,florida-federal,road work ahead,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
11,florida-federal,ideas,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
12,florida-federal,noelias estilias,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
13,florida-federal,right lane must turn right,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
14,florida-federal,road work ahead,street_sign,,,39.689499999999995,-105.02502777777778,,sheridan
15,florida-federal,lone star environmental llc,car_signs,,,39.689499999999995,-105.02502777777778,,sheridan
16,florida-federal,liquor,storefront_accessory,,,39.689499999999995,-105.02502777777778,,sheridan
17,florida-federal,signs,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
18,florida-federal,paleteria cuautemoc,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
19,florida-federal,se solicita estilista,advertisement,,,39.689499999999995,-105.02502777777778,,sheridan
20,evans-federal,federal,street_sign,,,39.678666666666665,-105.02505555555555,,sheridan
21,evans-federal,evans,street_sign,,,39.678666666666665,-105.02505555555555,,sheridan
22,evans-federal,burger king,storefront_main,,,39.678666666666665,-105.02505555555555,,sheridan
23,evans-federal,tmobile,storefront_main,,,39.678666666666665,-105.02505555555555,,sheridan
24,evans-federal,sinclair,storefront_main,,,39.678666666666665,-105.02505555555555,,sheridan
